RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Ben Crane,78,0.939,61.044,65
2,2,Brad Faxon,75,0.799,46.343,58
3,3,Len Mattiace,86,0.787,59.826,76
4,4,Bob Tway,87,0.736,48.582,66
5,8,Tiger Woods,76,0.659,36.252,55
6,5,Arjun Atwal,65,0.657,40.064,61
7,6,José María Olazábal,55,0.653,26.764,41
8,7,Steve Stricker,62,0.643,37.922,59
9,9,Brian Gay,101,0.584,54.334,93
T10,T10,Aaron Baddeley,84,0.575,43.735,76
T10,T10,Richard Johnson,50,0.575,26.428,46
12,12,Stewart Cink,98,0.545,38.674,71
13,13,Loren Roberts,54,0.54,25.928,48
14,14,Mark O'Meara,66,0.47,24.444,52
T15,T16,Brenden Pappas,51,0.45,22.064,49
T15,15,Tim Herron,100,0.45,35.127,78
17,18,Brent Geiberger,61,0.449,23.369,52
18,19,Dean Wilson,86,0.442,35.338,80
19,20,Phillip Price,77,0.439,28.111,64
20,21,Stephen Ames,82,0.426,26.001,61
21,22,Dudley Hart,84,0.406,29.603,73
22,23,Kirk Triplett,55,0.397,17.469,44
23,24,Jesper Parnevik,84,0.386,26.252,68
24,25,Matt Gogel,78,0.384,26.085,68
25,27,Corey Pavin,77,0.38,23.156,61
26,28,Matt Kuchar,60,0.367,20.572,56
27,T16,Luke Donald,67,0.362,14.491,40
28,29,Tag Ridings,93,0.36,30.27,84
29,30,Charlie Wi,67,0.359,21.888,61
30,26,Olin Browne,99,0.354,29.777,84
31,32,Patrick Sheehan,114,0.348,33.771,97
32,31,Jim Furyk,94,0.347,24.957,72
33,33,Freddie Jacobson,72,0.344,19.277,56
34,34,Zach Johnson,96,0.33,27.422,83
T35,T35,Kent Jones,99,0.329,28.921,88
T35,T35,Brett Quigley,96,0.329,28.006,85
T37,T37,Larry Mize,54,0.328,15.097,46
T37,T37,Bob Heintz,67,0.328,20.314,62
39,40,Gavin Coles,70,0.317,20.307,64
40,41,Tom Pernice Jr.,111,0.308,27.414,89
41,47,David Toms,87,0.305,19.493,64
T42,48,Bart Bryant,91,0.298,22.91,77
T42,42,Billy Andrade,83,0.298,22.017,74
44,39,Charles Howell III,95,0.283,20.398,72
45,43,Rory Sabbatini,81,0.27,16.2,60
46,44,Phil Mickelson,81,0.264,13.183,50
47,45,Shigeki Maruyama,99,0.261,22.218,85
48,46,Tjaart van der Walt,56,0.256,13.81,54
T49,T49,Steve Elkington,67,0.251,13.799,55
T49,T49,Kevin Sutherland,89,0.251,18.556,74
