RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Tiger Woods,40,14.1,563.85,-646.99,426.24,
2,3.0,Sergio Garcia,52,8.68,451.41,-192.95,400.62,
3,2.0,Phil Mickelson,48,8.15,391.22,-299.23,306.98,
4,4.0,Vijay Singh,55,7.54,414.91,-252.2,357.24,
5,5.0,Padraig Harrington,52,7.27,378.08,-251.02,311.64,
6,6.0,Robert Karlsson,52,5.32,276.62,-125.12,256.31,
7,7.0,Camilo Villegas,50,5.29,264.49,-83.5,235.14,
8,9.0,Lee Westwood,53,4.91,259.97,-139.27,216.12,
9,8.0,Anthony Kim,51,4.9,249.92,-73.02,254.94,
10,12.0,Henrik Stenson,49,4.88,239.15,-199.31,219.12,
11,10.0,Ernie Els,54,4.86,262.39,-276.57,161.42,
12,11.0,Jim Furyk,50,4.86,242.89,-278.43,193.77,
13,13.0,Steve Stricker,45,4.54,204.16,-185.43,131.66,
14,14.0,Stewart Cink,49,4.4,215.45,-158.85,207.47,
15,18.0,Geoff Ogilvy,48,4.36,209.1,-189.9,180.53,
16,15.0,K.J. Choi,52,4.34,225.7,-225.38,152.64,
17,16.0,Adam Scott,46,4.33,199.01,-244.91,159.4,
18,17.0,Justin Rose,46,4.1,188.76,-199.09,76.01,
19,19.0,Kenny Perry,50,3.96,197.98,-69.27,197.61,
20,20.0,Miguel Angel Jiménez,53,3.75,198.85,-103.9,165.63,
21,21.0,Mike Weir,51,3.71,189.29,-101.11,157.63,
22,22.0,Trevor Immelman,52,3.64,189.51,-174.31,159.56,
23,23.0,Justin Leonard,54,3.61,194.85,-79.0,188.71,
24,24.0,Ben Curtis,47,3.43,161.26,-65.79,157.61,
25,25.0,Ian Poulter,54,3.39,182.84,-145.27,126.84,
26,27.0,Luke Donald,40,3.3,132.03,-177.77,108.53,
27,26.0,Martin Kaymer,56,3.29,184.05,-74.48,191.0,
28,28.0,Rory Sabbatini,50,3.21,160.25,-178.03,85.18,
29,29.0,Aaron Baddeley,50,3.1,154.94,-148.68,94.84,
30,32.0,Andres Romero,52,3.08,160.29,-106.1,122.09,
31,30.0,Robert Allenby,61,3.08,187.84,-114.93,175.26,
32,31.0,Stephen Ames,47,3.07,144.07,-96.03,122.08,
33,33.0,Graeme McDowell,56,3.06,171.19,-69.63,160.96,
34,34.0,Ross Fisher,55,2.98,164.0,-55.03,132.98,
35,35.0,Stuart Appleby,57,2.97,169.12,-122.95,145.21,
36,37.0,Ángel Cabrera,51,2.87,146.57,-147.6,66.88,
37,40.0,Paul Casey,50,2.83,141.42,-144.4,112.16,
38,36.0,Zach Johnson,48,2.82,135.14,-148.93,75.76,
39,38.0,Hunter Mahan,55,2.8,153.85,-106.87,108.7,
40,39.0,Boo Weekley,54,2.75,148.58,-113.02,129.06,
41,41.0,Tim Clark,48,2.68,128.54,-95.98,86.93,
42,55.0,Oliver Wilson,55,2.68,147.18,-57.0,125.3,
43,43.0,Retief Goosen,56,2.61,146.24,-167.8,122.35,
44,42.0,Soren Hansen,54,2.6,140.51,-83.63,98.85,
45,44.0,Shingo Katayama,55,2.57,141.49,-102.42,101.71,
46,45.0,Kevin Sutherland,51,2.5,127.45,-55.95,122.0,
47,47.0,Søren Kjeldsen,58,2.46,142.42,-70.33,113.91,
48,46.0,Woody Austin,58,2.45,141.81,-111.81,93.63,
49,57.0,Peter Hanson,54,2.42,130.82,-67.99,94.84,
50,48.0,Sean O'Hair,54,2.42,130.43,-94.97,117.66,
51,49.0,Dudley Hart,40,2.36,94.22,-23.14,102.31,
52,54.0,Scott Verplank,48,2.36,113.05,-106.4,65.57,
53,50.0,Carl Pettersson,60,2.29,137.67,-96.83,114.99,
54,52.0,Brandt Snedeker,59,2.25,132.53,-102.47,95.14,
55,53.0,Chad Campbell,56,2.19,122.69,-72.99,116.24,
56,51.0,Freddie Jacobson,44,2.18,95.98,-47.51,78.58,
57,58.0,Ryuji Imada,58,2.16,125.0,-70.1,132.84,
58,56.0,Richard Green,46,2.13,98.18,-82.38,69.55,
59,59.0,Brendan Jones,44,2.09,91.86,-55.42,55.06,
60,61.0,Jeev Milkha Singh,74,2.08,153.7,-121.87,146.89,
61,62.0,Darren Clarke,54,2.05,110.95,-37.34,111.77,
62,60.0,Rocco Mediate,49,2.05,100.66,-46.51,92.16,
63,63.0,J.B. Holmes,52,1.98,103.19,-60.26,118.4,
64,73.0,Charl Schwartzel,56,1.96,109.96,-84.21,100.7,
65,64.0,D.J. Trahan,58,1.96,113.72,-55.21,116.5,
66,65.0,Rod Pampling,59,1.89,111.75,-100.28,88.7,
67,66.0,Pat Perez,54,1.86,100.46,-63.47,84.58,
68,67.0,James Kingston,55,1.85,101.59,-41.91,85.41,
69,75.0,Prayad Marksaeng,61,1.84,112.25,-69.65,78.8,
70,68.0,Anders Hansen,48,1.84,88.3,-75.93,54.26,
71,74.0,Azuma Yano,49,1.83,89.89,-31.1,80.79,
72,71.0,Ken Duke,64,1.83,117.38,-62.04,98.21,
73,69.0,Nick Dougherty,55,1.83,100.38,-80.4,53.9,
74,72.0,Jeff Quinney,57,1.82,103.81,-74.36,110.08,
75,70.0,Bart Bryant,48,1.82,87.25,-67.26,92.98,
76,166.0,Davis Love III,44,1.8,79.26,-70.2,69.22,
77,90.0,Alvaro Quiros,43,1.75,75.06,-21.52,73.32,
78,76.0,Hideto Tanihara,51,1.73,88.44,-60.67,62.16,
79,77.0,Peter Hedblom,49,1.73,84.9,-44.21,78.91,
80,79.0,Rory McIlroy,40,1.73,69.07,-18.97,57.62,
81,80.0,Billy Mayfair,59,1.71,101.0,-63.28,82.47,
82,83.0,Niclas Fasth,54,1.68,90.85,-125.01,37.76,
83,78.0,Jerry Kelly,60,1.68,100.72,-92.95,80.77,
84,84.0,Nick O'Hern,58,1.68,97.27,-108.65,67.19,
85,81.0,Heath Slocum,57,1.67,95.23,-77.97,73.96,
86,82.0,Paul Goydos,44,1.66,73.04,-62.75,73.76,
87,85.0,Mathew Goggin,60,1.66,99.32,-48.2,93.95,
88,88.0,Gonzalo Fernandez-Castaño,52,1.65,85.65,-52.07,57.7,
89,86.0,Steve Flesch,60,1.65,98.71,-71.24,73.03,
90,93.0,Hennie Otto,40,1.62,64.72,-25.25,72.19,
91,87.0,David Toms,42,1.6,67.22,-85.1,41.86,
92,89.0,Toru Taniguchi,54,1.59,85.74,-99.08,27.01,
93,91.0,Ben Crane,40,1.58,63.36,-43.44,72.27,
94,107.0,Wen-Tang Lin,40,1.58,63.18,-31.98,56.06,
95,94.0,Paul McGinley,53,1.55,82.06,-40.44,76.22,
96,95.0,Mark Brown,50,1.54,76.94,-26.83,82.75,
97,92.0,Peter Lonard,63,1.53,96.67,-78.6,62.95,
98,97.0,John Senden,61,1.52,92.79,-100.58,67.14,
99,96.0,Grégory Havret,58,1.51,87.84,-44.61,64.9,
100,98.0,Arron Oberholser,40,1.51,60.51,-83.15,21.26,
101,106.0,Francesco Molinari,55,1.5,82.6,-42.55,76.29,
102,99.0,Brian Gay,63,1.5,94.4,-50.85,92.22,
103,119.0,Steve Marino,63,1.49,93.71,-45.21,94.26,
104,103.0,Steve Webster,49,1.48,72.74,-41.59,42.66,
105,100.0,Briny Baird,61,1.48,90.54,-42.19,88.47,
106,104.0,Hiroyuki Fujita,46,1.48,68.14,-44.89,49.11,
107,105.0,Mark Wilson,54,1.47,79.59,-54.36,70.13,
108,101.0,Bubba Watson,55,1.47,80.88,-63.6,67.61,
109,102.0,Alastair Forsyth,52,1.45,75.58,-44.55,60.19,
110,109.0,Richard Sterne,50,1.45,72.57,-86.95,41.34,
111,108.0,Charles Howell III,58,1.44,83.65,-121.94,60.6,
112,111.0,Anthony Wall,59,1.44,85.03,-56.1,73.25,
113,114.0,WC Liang,56,1.44,80.64,-69.09,61.0,
114,110.0,Alex Noren,56,1.43,80.23,-38.79,70.18,
115,115.0,Colin Montgomerie,52,1.4,72.66,-89.68,52.02,
116,112.0,Mark Calcavecchia,53,1.38,73.29,-92.29,37.3,
117,122.0,Louis Oosthuizen,51,1.38,70.23,-55.8,56.79,
118,113.0,Daniel Chopra,71,1.37,97.59,-83.98,84.33,
119,138.0,Kevin Streelman,40,1.36,54.35,-3.22,57.57,
120,116.0,Grégory Bourdy,56,1.35,75.71,-41.14,57.52,
121,117.0,Pablo Larrazabal,47,1.35,63.26,-8.35,64.8,
122,118.0,Charlie Wi,58,1.34,77.57,-42.86,66.24,
123,136.0,Shintaro Kai,40,1.33,53.2,-4.57,56.04,
124,121.0,Simon Dyson,60,1.32,79.17,-84.51,47.62,
125,124.0,Matt Kuchar,54,1.32,71.23,-46.37,68.81,
126,129.0,David Smail,50,1.31,65.37,-48.49,37.55,
127,126.0,Taco Remkes,40,1.3,51.83,-2.14,53.97,
128,211.0,S.K. Ho,45,1.29,57.97,-33.64,53.33,
129,127.0,Ryo Ishikawa,40,1.28,51.37,-9.84,45.99,
130,120.0,Tommy Armour III,49,1.28,62.61,-27.1,60.1,
131,123.0,George McNeill,59,1.28,75.29,-38.8,59.24,
132,125.0,Felipe Aguilar,48,1.26,60.66,-40.52,52.12,
133,132.0,Markus Brier,53,1.26,66.84,-53.89,45.77,
134,130.0,Jonathan Byrd,50,1.25,62.73,-65.93,45.68,
135,134.0,Johnson Wagner,59,1.25,73.86,-44.11,73.82,
136,131.0,Graeme Storm,58,1.25,72.42,-51.31,54.92,
137,142.0,David Horsey,40,1.25,49.86,-7.77,46.89,
138,128.0,Ryan Moore,54,1.24,66.81,-69.5,47.88,
139,248.0,Matt Bettencourt,41,1.23,50.55,-2.52,49.54,
140,144.0,Scott Strange,57,1.22,69.81,-38.03,71.3,
