RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bubba Watson,97,315.1,59870,190
2,2,Robert Garrigus,90,311.0,55988,180
3,3,J.B. Holmes,86,310.3,52749,170
4,4,Dustin Johnson,92,309.7,56978,184
5,5,Steve Allan,58,303.2,30316,100
6,7,Tag Ridings,88,303.0,53320,176
7,6,Nick Watney,96,302.9,58150,192
8,8,Adam Scott,51,302.1,29607,98
9,9,Davis Love III,78,301.3,47005,156
10,10,Charles Warren,79,301.1,47573,158
11,11,Anthony Kim,81,300.9,48741,162
12,12,Charley Hoffman,94,300.8,55346,184
13,15,Ángel Cabrera,55,300.2,30620,102
14,13,Harrison Frazar,73,299.9,38986,130
15,14,Jason Gore,94,299.7,56344,188
T16,16,Fred Couples,60,299.6,35952,120
T16,17,Travis Perkins,53,299.6,28164,94
18,19,Paul Casey,55,299.2,31119,104
19,20,Andres Romero,69,299.1,40076,134
20,21,John Merrick,98,299.0,53824,180
21,22,Brandt Jobe,52,298.8,31077,104
22,23,Jason Allred,63,298.6,34041,114
23,24,Lucas Glover,91,298.4,54317,182
24,18,Tommy Gainey,60,298.3,31027,104
25,25,Vijay Singh,82,297.8,46464,156
26,27,Jeff Overton,103,297.6,58915,198
27,26,Jason Day,81,297.4,48186,162
28,29,Stewart Cink,87,296.9,48103,162
T29,28,Richard Johnson,77,296.7,44508,150
T29,30,Bill Haas,99,296.7,56377,190
31,31,Martin Laird,98,296.6,54572,184
32,32,Padraig Harrington,52,296.3,29625,100
33,33,Kenny Perry,97,296.0,57427,194
34,34,Mathew Goggin,91,295.9,53852,182
35,T35,Phil Mickelson,80,295.7,46128,156
T36,T35,Nicholas Thompson,113,295.4,63222,214
T36,T35,Jimmy Walker,73,295.4,38397,130
T38,T40,Troy Matteson,94,295.2,55502,188
T38,39,Mathias Grönberg,87,295.2,49010,166
T40,T42,James Driscoll,85,295.0,46613,158
T40,T40,George McNeill,97,295.0,57227,194
42,T35,Brenden Pappas,66,294.9,35392,120
43,44,Sergio Garcia,72,294.6,41247,140
T44,T45,Daniel Chopra,84,294.2,48837,166
T44,T42,Ryan Palmer,69,294.2,37069,126
T44,T45,Pat Perez,93,294.2,54139,184
47,48,Matt Jones,95,293.9,53485,182
48,T45,Charles Howell III,101,293.6,58142,198
49,T50,Steve Marino,119,293.5,67508,230
50,53,Camilo Villegas,79,293.3,45747,156
51,T50,Jon Mills,95,293.2,51025,174
52,55,Tim Herron,97,293.0,54490,186
53,49,Todd Demsey,80,292.9,45686,156
T54,52,Ted Purdy,68,292.8,36307,124
T54,54,Kevin Streelman,114,292.8,63254,216
56,56,Ryan Moore,72,292.7,42154,144
57,T60,Geoff Ogilvy,65,292.1,37386,128
T58,T62,Rory Sabbatini,77,292.0,44379,152
T58,58,Bo Van Pelt,101,292.0,56649,194
60,59,Nick Flanagan,89,291.8,49605,170
T61,T60,Boo Weekley,86,291.7,48425,166
T61,T62,J.J. Henry,108,291.7,63014,216
T61,T66,Robert Allenby,108,291.7,62418,214
64,T66,Ernie Els,51,291.6,29159,100
65,64,John Huston,56,291.5,30313,104
T66,T68,D.J. Trahan,94,291.3,54771,188
T66,T68,Trevor Immelman,70,291.3,39620,136
68,65,Kevin Stadler,90,291.2,47756,164
T69,T71,Michael Letzig,88,291.1,48897,168
T69,T71,Sean O'Hair,81,291.1,47156,162
71,73,Kevin Sutherland,98,291.0,57031,196
72,74,Stuart Appleby,87,290.9,48872,168
73,T75,Aaron Baddeley,76,290.3,42381,146
74,70,John Riegger,73,290.1,38876,134
T75,T78,Chad Campbell,94,289.9,54498,188
T75,77,Brad Adamonis,87,289.9,48129,166
T75,T78,Hunter Mahan,87,289.9,49287,170
78,T75,Brad Elder,67,289.8,35357,122
79,80,Mark Hensby,71,289.4,41094,142
80,81,John Rollins,94,288.9,54320,188
81,83,John Senden,93,288.8,53140,184
T82,91,Rod Pampling,83,288.0,46074,160
T82,84,Vaughn Taylor,103,288.0,59330,206
T84,T85,Bob Sowards,61,287.9,31671,110
T84,T88,David Lutterus,59,287.9,30519,106
T86,90,Cody Freeman,66,287.8,35689,124
T86,T88,Ben Crane,86,287.8,49494,172
T88,T85,Rich Beem,90,287.7,51779,180
T88,92,Eric Axley,113,287.7,62708,218
T88,94,Joe Ogilvie,100,287.7,55230,192
T88,82,Tom Scherrer,56,287.7,28768,100
T88,87,Tommy Armour III,77,287.7,42001,146
93,93,Jesper Parnevik,88,287.6,48316,168
94,T97,Brett Quigley,80,287.5,44855,156
T95,T97,Charlie Wi,97,287.4,55760,194
T95,95,Chris Stroud,81,287.4,43104,150
T97,96,Alejandro Cañizares,52,287.1,25269,88
T97,103,Retief Goosen,59,287.1,33302,116
99,T100,Steve Lowery,74,287.0,42472,148
100,T100,Y.E. Yang,89,286.9,49929,174
101,102,Michael Allen,91,286.8,52206,182
102,T97,Joe Durant,92,286.5,48126,168
T103,T107,Jeff Gove,50,286.4,26349,92
T103,105,Ryan Armour,87,286.4,47543,166
105,T109,Parker McLachlin,88,286.2,48081,168
T106,T111,K.J. Choi,74,286.1,40056,140
T106,T111,Marco Dawson,64,286.1,32042,112
T108,104,Will MacKenzie,62,286.0,35466,124
T108,T109,Carl Pettersson,110,286.0,62924,220
110,106,Jeff Maggert,86,285.9,49181,172
111,T107,Kyle Thompson,70,285.7,36566,128
112,113,Carlos Franco,73,285.6,38271,134
