RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,TOP 10,1ST,2ND,3RD
T1,T1,Bo Van Pelt,10,,1.0,
T1,T1,Rory McIlroy,10,4.0,2.0,1.0
T3,T3,Matt Kuchar,9,1.0,,1.0
T3,T3,Tiger Woods,9,3.0,1.0,2.0
T3,T3,Dustin Johnson,9,1.0,,1.0
T6,T6,Jim Furyk,8,,2.0,1.0
T6,T6,Justin Rose,8,1.0,1.0,1.0
T6,T6,Luke Donald,8,1.0,,2.0
T6,T11,Robert Garrigus,8,,4.0,
T6,T6,Jason Dufner,8,2.0,1.0,
T6,T6,Ryan Moore,8,1.0,,1.0
T12,T11,Bubba Watson,7,1.0,2.0,
T12,T11,Webb Simpson,7,1.0,,1.0
T12,T11,Brandt Snedeker,7,2.0,1.0,1.0
T12,T11,Lee Westwood,7,,1.0,1.0
T12,T11,Phil Mickelson,7,1.0,2.0,1.0
T12,T11,Steve Stricker,7,1.0,1.0,
T18,T18,Ken Duke,6,,,
T18,T18,Jimmy Walker,6,,,
T18,T24,Matt Every,6,,2.0,1.0
T18,T18,Kevin Na,6,,,
T18,T18,Zach Johnson,6,2.0,2.0,
T18,T18,Carl Pettersson,6,1.0,2.0,1.0
T18,T18,Bud Cauley,6,,,1.0
T25,T24,Keegan Bradley,5,1.0,1.0,1.0
T25,T24,Rickie Fowler,5,1.0,1.0,
T25,T24,Jonathan Byrd,5,,,1.0
T25,T24,Adam Scott,5,,1.0,1.0
T25,T24,Hunter Mahan,5,2.0,,
T25,T24,Kevin Stadler,5,,,
T25,T24,Louis Oosthuizen,5,,2.0,1.0
T25,T24,Nick Watney,5,1.0,,
T25,T24,Jonas Blixt,5,1.0,,2.0
T25,T24,John Senden,5,,,
T25,T24,Vijay Singh,5,,,
T25,T24,David Toms,5,,1.0,
T25,T24,Ernie Els,5,1.0,1.0,
T25,T24,John Rollins,5,,,1.0
T39,T39,Ryan Palmer,4,,,1.0
T39,T39,Brendon de Jonge,4,,1.0,
T39,T39,Ben Crane,4,,1.0,
T39,T39,Peter Hanson,4,,,1.0
T39,T39,Brian Davis,4,,,
T39,T54,Charlie Wi,4,,1.0,1.0
T39,T54,Josh Teater,4,,,
T39,T39,Johnson Wagner,4,1.0,1.0,
T39,T39,Jason Day,4,,,
T39,T39,Jeff Overton,4,,,
T39,T39,Graeme McDowell,4,,2.0,
T39,T39,Scott Piercy,4,1.0,,1.0
T39,T39,Daniel Summerhays,4,,,
T39,T39,Ian Poulter,4,1.0,,2.0
T39,T39,Chris Kirk,4,,,
T39,T39,Cameron Tringale,4,,,
T39,T39,John Huh,4,1.0,1.0,
T56,T54,Harris English,3,,,
T56,T54,Seung-Yul Noh,3,,,
T56,T83,Scott Stallings,3,1.0,,
T56,T54,Michael Thompson,3,,1.0,
T56,T54,William McGirt,3,,1.0,
T56,T83,Charlie Beljan,3,1.0,,1.0
T56,T54,Jason Bohn,3,,1.0,
T56,T54,D.A. Points,3,,1.0,
T56,T54,Bill Haas,3,1.0,,
T56,T54,Scott Brown,3,,,
T56,T54,Brendan Steele,3,,,
T56,T54,Blake Adams,3,,,
T56,T54,Martin Laird,3,,2.0,
