RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Jerry Kelly,75,71.81,749,1043
2,4,Mark Wilson,56,70.74,515,728
3,3,Steve Stricker,51,70.65,467,661
4,2,Jim Furyk,80,70.47,766,1087
5,6,Tim Clark,64,70.31,599,852
6,7,Chez Reavie,72,70.29,705,1003
7,5,Henrik Stenson,65,70.09,628,896
8,8,Zach Johnson,84,69.68,809,1161
9,9,Justin Hicks,79,69.61,726,1043
10,10,Ken Duke,87,69.28,841,1214
11,11,Jeff Maggert,63,68.83,605,879
12,12,Jin Park,52,68.82,479,696
13,13,Brian Davis,91,68.61,870,1268
14,15,John Huh,88,68.53,845,1233
15,16,Graeme McDowell,53,68.51,470,686
16,17,Ryan Moore,72,68.44,681,995
17,18,"Ted Potter, Jr.",65,68.03,581,854
18,14,Jordan Spieth,82,67.8,775,1143
19,19,Ben Kohles,75,67.78,669,987
20,20,Darron Stiles,51,67.64,462,683
21,23,Doug LaBelle II,72,67.42,658,976
22,21,Roberto Castro,97,67.36,910,1351
23,22,Kevin Streelman,86,67.25,805,1197
24,25,Richard Lee,81,66.95,717,1071
25,24,Hunter Mahan,91,66.61,794,1192
26,27,David Toms,49,66.5,407,612
27,29,Colt Knost,69,66.48,601,904
28,26,Boo Weekley,100,66.36,925,1394
29,28,Brendon de Jonge,110,66.28,1016,1533
30,30,D.H. Lee,65,66.23,600,906
31,32,K.J. Choi,85,66.04,774,1172
32,33,Brian Stuard,78,65.99,679,1029
33,34,Bryce Molder,82,65.95,734,1113
34,31,Graham DeLaet,94,65.8,862,1310
35,35,Jason Bohn,70,65.74,641,975
36,36,George McNeill,68,65.62,624,951
37,37,Vaughn Taylor,50,65.32,420,643
38,38,Dicky Pride,71,65.24,608,932
39,40,J.J. Henry,83,64.93,735,1132
40,41,David Lingmerth,68,64.87,613,945
41,39,Jason Dufner,78,64.81,698,1077
42,42,Brian Gay,79,64.79,714,1102
43,43,Brandt Jobe,62,64.78,526,812
44,44,Tom Gillis,69,64.75,586,905
T45,T45,Matt Jones,83,64.74,749,1157
T45,T45,Nicholas Thompson,99,64.74,894,1381
47,47,Russell Henley,80,64.68,705,1090
48,48,Justin Leonard,86,64.36,771,1198
49,50,Kevin Stadler,83,64.21,707,1101
50,49,Billy Horschel,96,64.17,858,1337
51,52,Bo Van Pelt,72,63.8,624,978
52,T53,Justin Rose,62,63.57,534,840
53,56,D.J. Trahan,48,63.54,406,639
54,57,D.A. Points,87,63.48,770,1213
55,59,Webb Simpson,92,63.3,778,1229
56,60,Bob Estes,66,63.11,580,919
57,62,Aaron Watkins,46,63.03,387,614
58,63,Charlie Wi,75,63.02,622,987
