RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Jason Day,41,13.44,551.01,-270.87,384.29,
2,2.0,Dustin Johnson,45,11.59,521.72,-160.45,437.12,
3,3.0,Rory McIlroy,43,11.12,478.23,-347.32,352.51,
4,4.0,Jordan Spieth,52,9.68,503.61,-372.23,275.85,
5,5.0,Henrik Stenson,48,8.77,421.19,-237.94,284.84,
6,6.0,Adam Scott,43,7.26,312.19,-153.71,279.21,
7,7.0,Bubba Watson,47,6.28,295.17,-242.18,171.44,
8,8.0,Patrick Reed,52,6.22,323.27,-159.39,251.85,
9,9.0,Rickie Fowler,51,5.85,298.22,-251.46,178.97,
10,11.0,Danny Willett,51,5.84,297.6,-143.2,241.64,
11,10.0,Justin Rose,50,5.54,277.16,-226.56,138.55,
12,12.0,Sergio Garcia,45,5.2,234.11,-157.16,181.18,
13,16.0,Paul Casey,50,5.09,254.55,-112.26,186.19,
14,13.0,Branden Grace,52,5.07,263.63,-137.76,185.93,
15,14.0,Phil Mickelson,43,5.0,215.16,-98.8,196.03,
16,15.0,Jimmy Walker,52,4.83,251.32,-129.57,209.93,
17,17.0,Matt Kuchar,52,4.65,241.88,-133.29,184.91,
18,18.0,Hideki Matsuyama,52,4.6,239.44,-152.5,181.95,
19,19.0,Russell Knox,52,4.34,225.64,-88.89,155.28,
20,20.0,Louis Oosthuizen,49,4.21,206.29,-124.91,144.28,
21,21.0,J.B. Holmes,49,4.14,202.76,-117.42,149.83,
22,22.0,Brooks Koepka,52,4.08,212.01,-142.6,146.21,
23,23.0,Brandt Snedeker,52,3.89,202.45,-115.78,184.0,
24,25.0,Charl Schwartzel,52,3.82,198.45,-103.62,150.95,
25,27.0,Emiliano Grillo,52,3.81,198.18,-82.5,128.57,
26,24.0,Jim Furyk,40,3.73,149.02,-154.98,79.27,
27,34.0,Kevin Chappell,52,3.65,189.76,-56.16,168.34,
28,26.0,Zach Johnson,51,3.63,185.36,-132.49,91.98,
29,28.0,Alex Noren,40,3.58,143.31,-38.7,118.93,
30,29.0,Rafa Cabrera Bello,52,3.46,180.13,-66.36,173.33,
31,42.0,Ryan Moore,47,3.42,160.74,-78.92,138.53,
32,30.0,Chris Wood,46,3.36,154.45,-69.24,96.11,
33,33.0,Justin Thomas,52,3.34,173.55,-86.44,113.19,
34,31.0,Scott Piercy,52,3.25,169.21,-65.07,122.88,
35,32.0,Kevin Kisner,52,3.2,166.15,-107.82,68.89,
36,37.0,Daniel Berger,52,3.09,160.59,-76.33,111.21,
37,36.0,Kevin Na,52,3.07,159.83,-114.59,94.34,
38,35.0,Byeong Hun An,52,3.05,158.75,-94.18,90.3,
39,38.0,Bill Haas,50,2.97,148.57,-104.31,112.43,
40,41.0,William McGirt,52,2.97,154.37,-48.03,135.76,
41,40.0,Shane Lowry,51,2.92,149.03,-114.41,82.98,
42,39.0,Thomas Pieters,49,2.92,143.02,-56.51,111.62,
43,65.0,Francesco Molinari,52,2.85,148.09,-70.68,110.3,
44,46.0,Matt Fitzpatrick,52,2.76,143.66,-68.16,73.89,
45,48.0,Gary Woodland,50,2.74,137.04,-75.36,107.49,
46,43.0,Lee Westwood,49,2.74,134.12,-92.12,91.97,
47,45.0,Thongchai Jaidee,52,2.74,142.29,-99.42,72.96,
48,51.0,Martin Kaymer,52,2.67,139.1,-122.49,93.64,
49,47.0,Søren Kjeldsen,52,2.67,138.93,-74.45,75.14,
50,44.0,Andy Sullivan,52,2.66,138.33,-92.39,87.0,
51,49.0,Charley Hoffman,52,2.62,136.27,-86.79,96.97,
52,50.0,Marc Leishman,51,2.6,132.36,-96.72,65.35,
53,53.0,Tyrrell Hatton,51,2.53,128.85,-51.0,101.4,
54,52.0,Danny Lee,52,2.52,131.16,-81.16,79.02,
55,58.0,Si Woo Kim,52,2.5,130.0,-23.06,121.71,
56,54.0,K.T. Kim,52,2.46,128.12,-58.06,77.22,
57,55.0,David Lingmerth,52,2.44,126.83,-76.55,82.87,
58,56.0,Bernd Wiesberger,52,2.42,125.65,-98.1,71.71,
59,57.0,Daniel Summerhays,52,2.35,121.98,-50.44,91.0,
60,62.0,Jason Dufner,52,2.34,121.78,-52.79,118.33,
61,59.0,James Hahn,52,2.31,120.03,-53.76,96.48,
62,60.0,Joost Luiten,52,2.29,118.94,-74.83,102.19,
63,61.0,Ryan Palmer,48,2.25,107.9,-81.77,81.86,
64,63.0,Harris English,52,2.2,114.35,-60.47,93.21,
65,64.0,Kiradech Aphibarnrat,52,2.14,111.43,-79.66,46.29,
66,70.0,Roberto Castro,49,2.13,104.61,-19.91,97.49,
67,66.0,Webb Simpson,44,2.1,92.43,-65.72,65.3,
68,67.0,Luke Donald,52,2.1,109.11,-65.2,79.67,
69,69.0,Scott Hend,52,2.09,108.64,-51.53,92.31,
70,68.0,Billy Horschel,50,2.08,104.16,-118.02,80.53,
