RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Henrik Stenson,63,73.52,794,1080,-0.26
2,2,Jim Herman,88,73.23,1160,1584,-0.23
3,3,Stewart Cink,77,72.94,1011,1386,-0.23
4,5,Will Wilcox,58,72.53,705,972,-0.28
5,4,Paul Casey,87,72.36,1068,1476,-0.27
6,7,Francesco Molinari,56,71.07,678,954,-0.22
T7,6,Jason Day,75,70.83,918,1296,-0.36
T7,8,Russell Knox,96,70.83,1224,1728,-0.25
9,9,Justin Rose,69,70.54,838,1188,-0.31
10,10,Lucas Glover,79,70.46,1002,1422,-0.22
11,11,Alex Prugh,84,70.14,1010,1440,-0.26
12,12,Michael Putnam,87,70.13,1073,1530,-0.22
13,14,J.J. Henry,94,69.88,1132,1620,-0.22
14,15,Jim Furyk,71,69.79,804,1152,-0.24
15,18,Chez Reavie,56,69.64,702,1008,-0.25
16,19,Adam Scott,51,69.62,589,846,-0.26
17,16,Brooks Koepka,84,69.48,1013,1458,-0.3
18,21,Billy Horschel,99,69.33,1173,1692,-0.27
19,13,Bubba Watson,71,69.32,836,1206,-0.33
20,23,Greg Owen,58,69.25,723,1044,-0.22
21,20,Hideki Matsuyama,95,69.2,1121,1620,-0.3
22,24,Graham DeLaet,65,69.15,809,1170,-0.27
23,17,Robert Streb,110,69.14,1369,1980,-0.29
24,25,Jason Dufner,76,69.03,907,1314,-0.24
25,26,Kevin Streelman,95,68.99,1130,1638,-0.26
26,27,Johnson Wagner,68,68.95,844,1224,-0.25
27,28,Justin Thomas,106,68.92,1315,1908,-0.31
T28,T29,Byron Smith,59,68.89,682,990,-0.23
T28,T29,Jason Bohn,95,68.89,1178,1710,-0.3
30,31,Daniel Berger,97,68.84,1202,1746,-0.27
31,22,Bill Haas,89,68.8,1065,1548,-0.24
32,32,Shawn Stefani,94,68.79,1164,1692,-0.29
33,33,Bill Lunde,50,68.72,569,828,-0.21
34,34,Ben Martin,93,68.7,1113,1620,-0.27
35,35,Chad Campbell,97,68.61,1198,1746,-0.24
36,36,Nicholas Thompson,90,68.6,1062,1548,-0.25
37,40,Zach Johnson,90,68.58,1074,1566,-0.29
38,37,Charles Howell III,105,68.57,1296,1890,-0.26
39,38,Hudson Swafford,97,68.54,1172,1710,-0.3
40,39,Brendan Steele,88,68.52,1036,1512,-0.3
T41,T41,Martin Flores,95,68.32,1119,1638,-0.24
T41,T41,John Peterson,84,68.32,1033,1512,-0.25
T43,T43,Louis Oosthuizen,68,68.28,762,1116,-0.27
T43,T43,Brice Garnett,81,68.28,971,1422,-0.23
45,45,Spencer Levin,99,68.27,1192,1746,-0.23
46,46,Whee Kim,71,68.2,847,1242,-0.26
47,48,David Hearn,97,67.98,1187,1746,-0.27
48,50,Pat Perez,96,67.88,1173,1728,-0.29
49,47,Jordan Spieth,91,67.87,1075,1584,-0.34
50,52,William McGirt,103,67.85,1258,1854,-0.25
51,53,Mark Wilson,89,67.84,1038,1530,-0.24
52,54,Rory Sabbatini,81,67.83,989,1458,-0.27
53,55,Webb Simpson,81,67.81,952,1404,-0.25
