RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Dustin Johnson,87,69.172,5697,- 24.859,82
2,2,Jason Day,76,69.313,4810,- 27.380,69
3,4,Adam Scott,79,69.47,5305,- 25.292,76
4,3,Jordan Spieth,80,69.52,5299,- 15.457,76
5,5,Phil Mickelson,75,69.582,5038,- 28.116,72
6,6,Rory McIlroy,69,69.646,4338,- 19.922,62
7,7,Matt Kuchar,100,69.844,6724,- 19.005,96
8,12,Paul Casey,77,69.95,5195,- 18.728,74
9,8,Brooks Koepka,75,69.956,4909,- 12.091,70
10,9,Steve Stricker,53,69.996,3709,.811,53
11,10,Sergio Garcia,54,69.999,3590,- 20.062,51
12,11,Charl Schwartzel,73,70.004,4921,- 20.749,70
13,13,Hideki Matsuyama,76,70.034,5121,- 8.491,73
14,14,Rickie Fowler,80,70.118,5403,- 3.938,77
15,T15,Jim Furyk,52,70.13,3670,- 23.246,52
16,T17,Justin Rose,65,70.148,4381,- 31.852,62
17,T15,Patrick Reed,105,70.17,7085,2.168,101
18,19,Brandt Snedeker,93,70.203,6250,- 1.947,89
19,20,Branden Grace,63,70.204,4247,- 34.749,60
20,22,Jason Dufner,105,70.212,7168,- 6.334,102
21,21,Ryan Palmer,86,70.229,6048,- 8.305,86
22,23,Gary Woodland,95,70.234,6387,4.301,91
23,T17,Kevin Na,96,70.298,6535,2.749,93
24,38,Ryan Moore,86,70.317,5689,6.655,81
25,24,Russell Knox,92,70.319,6266,- 7.630,89
26,26,Louis Oosthuizen,63,70.327,3970,- 31.707,56
27,29,Bubba Watson,72,70.333,4867,- 14.044,69
28,27,Daniel Berger,92,70.339,6267,- 6.857,89
29,28,Webb Simpson,70,70.359,4931,- 5.867,70
30,30,Zach Johnson,90,70.364,6055,- 3.737,86
T31,25,Jimmy Walker,85,70.393,5785,- 12.786,82
T31,31,William McGirt,98,70.393,6898,.548,98
33,32,Charles Howell III,91,70.418,6376,32.026,91
34,33,Francesco Molinari,64,70.436,4524,- 16.079,64
35,34,Bill Haas,86,70.444,5798,- 21.589,82
36,37,Harris English,97,70.463,6854,- 19.118,97
37,36,Kevin Kisner,97,70.489,6626,- .014,94
38,50,Kevin Chappell,93,70.501,6561,- 4.392,93
39,35,J.B. Holmes,77,70.523,5243,- 24.291,74
40,39,Lucas Glover,75,70.534,5275,15.059,75
41,40,Billy Horschel,73,70.548,4971,- 32.637,70
42,41,Marc Leishman,89,70.554,6066,1.621,86
43,42,Russell Henley,76,70.558,5346,16.378,76
44,46,Si Woo Kim,113,70.56,7667,24.029,109
45,43,Chad Campbell,90,70.566,6326,24.984,90
46,44,Jason Kokrak,89,70.57,6283,- 2.305,89
47,48,Justin Thomas,99,70.571,6789,- 14.157,96
48,45,Retief Goosen,55,70.581,3900,- 18.058,55
49,47,Roberto Castro,97,70.588,6802,45.068,97
50,53,Emiliano Grillo,93,70.637,6367,- 9.688,90
51,49,Shane Lowry,57,70.64,3861,- 46.415,54
52,51,Charley Hoffman,91,70.658,6254,- 36.127,88
53,52,Chez Reavie,90,70.661,6047,29.831,86
54,54,Alex Cejka,71,70.675,4693,42.247,67
55,55,Sean O'Hair,89,70.677,6265,25.230,89
56,56,Tim Wilkinson,72,70.704,4788,19.893,68
57,57,John Senden,88,70.717,6067,14.666,86
58,58,Adam Hadwin,93,70.719,6554,22.877,93
59,59,Keegan Bradley,82,70.741,5803,- 2.261,82
60,60,Luke List,79,70.754,5436,12.094,77
61,61,Daniel Summerhays,99,70.771,7008,- 1.660,99
62,62,Johnson Wagner,86,70.781,6063,24.159,86
63,63,Ricky Barnes,97,70.784,6542,40.929,93
64,64,Colt Knost,90,70.785,6093,- 5.509,86
65,65,Tony Finau,95,70.797,6721,4.720,95
66,66,Freddie Jacobson,86,70.809,6073,16.539,86
67,67,Patrick Rodgers,89,70.833,6000,20.837,85
T68,T68,Stewart Cink,61,70.846,4300,21.580,61
T68,T68,Billy Hurley III,66,70.846,4676,- .160,66
70,70,Robert Garrigus,69,70.848,4574,31.105,65
T71,T71,Scott Piercy,87,70.855,5951,.778,84
T71,T71,Brendan Steele,88,70.855,5955,- 3.178,84
73,73,Sung Kang,89,70.856,6156,8.507,87
74,74,Martin Laird,82,70.867,5510,17.605,78
75,75,David Hearn,95,70.87,6699,33.690,95
76,76,David Toms,62,70.872,4399,- 4.950,62
77,77,Hudson Swafford,104,70.875,7335,36.020,104
78,78,Aaron Baddeley,93,70.888,6277,32.063,89
79,80,Jamie Lovemark,91,70.896,6434,17.557,91
80,81,Graeme McDowell,63,70.899,4272,- 18.042,60
81,82,Bryce Molder,80,70.901,5514,16.312,78
82,79,Jhonattan Vegas,97,70.903,6561,32.943,93
83,83,Ben Crane,80,70.908,5377,12.007,76
84,84,Luke Donald,81,70.918,5741,3.389,81
85,85,Chris Kirk,90,70.92,6023,5.196,85
86,86,Patton Kizzire,93,70.921,6324,- 12.044,89
87,87,Spencer Levin,104,70.927,7063,29.704,100
88,88,Jerry Kelly,76,70.937,5367,24.240,76
89,89,Stuart Appleby,71,70.95,4875,20.533,69
90,90,Kyle Reifers,115,70.965,7850,27.156,111
91,91,Scott Stallings,74,70.966,4957,10.588,70
92,92,Kyle Stanley,92,70.986,6308,9.711,89
93,93,Brett Stegmaier,87,70.995,6010,24.605,85
94,94,Brian Harman,104,70.996,7350,33.611,104
95,95,Boo Weekley,83,71.0,5867,25.974,83
96,96,Smylie Kaufman,91,71.015,6241,8.282,88
97,97,Vaughn Taylor,72,71.028,5122,- 7.987,72
T98,T99,Padraig Harrington,54,71.032,3830,5.706,54
T98,T99,Blayne Barber,84,71.032,5658,24.573,80
100,101,Harold Varner III,92,71.045,6539,- 2.892,92
101,102,David Lingmerth,84,71.05,5746,9.081,81
102,103,Kevin Streelman,82,71.054,5837,- 10.560,82
103,104,Will Wilcox,67,71.055,4613,5.606,65
104,105,Vijay Singh,72,71.057,5135,- 18.926,72
105,106,Seung-Yul Noh,85,71.061,5746,9.927,81
106,107,Derek Fathauer,94,71.073,6683,- 2.105,94
107,108,Graham DeLaet,70,71.074,4687,3.876,66
108,109,K.J. Choi,73,71.093,5178,11.754,73
109,110,Scott Brown,88,71.098,6240,16.604,88
110,111,Chris Stroud,82,71.101,5662,26.092,80
111,112,John Huh,86,71.104,6018,25.807,85
112,113,Danny Lee,93,71.118,6418,- 17.377,90
113,114,Jason Bohn,67,71.126,4738,27.422,67
114,115,Bronson Burgoon,83,71.132,5605,14.458,79
115,116,Anirban Lahiri,72,71.139,4920,- 11.424,69
116,117,Andrew Landry,53,71.143,3475,11.003,49
117,118,Jon Curran,99,71.145,7017,26.365,99
118,119,Henrik Norlander,71,71.157,4734,33.523,67
119,120,Tyrone Van Aswegen,105,71.189,7245,16.310,102
120,121,Jonas Blixt,79,71.19,5400,10.414,76
121,122,Michael Kim,100,71.203,6814,21.511,96
122,123,Michael Thompson,71,71.204,4814,27.886,68
123,124,Jim Herman,93,71.206,6632,- 9.870,93
T124,T125,Matt Jones,83,71.223,5693,4.817,80
T124,T125,Robert Streb,87,71.223,5986,- 3.296,84
126,127,Brian Stuard,66,71.242,4687,14.949,66
127,128,James Hahn,85,71.245,6063,- 7.198,85
128,129,Cameron Tringale,81,71.256,5467,19.740,77
129,130,Nick Taylor,83,71.281,5597,34.210,79
130,131,Ben Martin,92,71.282,6235,37.816,88
131,132,Shawn Stefani,91,71.287,6177,24.956,87
132,133,Thomas Aiken,70,71.326,4682,25.498,66
133,134,Kelly Kraft,63,71.333,4178,30.654,59
134,135,Fabián Gómez,82,71.346,5638,- 1.696,79
135,136,Mark Hubbard,101,71.362,6899,23.102,97
136,137,Ernie Els,66,71.371,4735,- 24.520,66
137,138,Morgan Hoffmann,71,71.372,4766,15.939,67
138,139,Dawie van der Walt,72,71.376,4971,25.301,70
139,140,Will MacKenzie,84,71.402,5696,16.159,80
140,141,Tyler Aldridge,83,71.412,5616,25.567,79
141,142,Luke Guthrie,57,71.416,3893,34.896,55
142,143,Andrew Loupe,75,71.423,5347,9.689,75
143,144,Sam Saunders,69,71.427,4630,12.728,65
144,145,Steve Wheatcroft,85,71.429,5772,13.731,81
145,146,Rob Oppenheim,67,71.435,4498,2.413,63
146,147,Mark Wilson,66,71.436,4413,16.010,62
147,148,Camilo Villegas,83,71.44,5643,.748,79
148,149,Tom Hoge,81,71.444,5489,12.168,77
149,150,Geoff Ogilvy,63,71.464,4214,2.394,59
150,151,Jeff Overton,69,71.466,4620,25.322,65
151,152,Steve Marino,72,71.467,4848,11.774,68
152,153,Whee Kim,82,71.472,5561,13.800,78
153,154,Zac Blair,99,71.49,6769,22.503,95
154,155,Scott Pinckney,87,71.524,6035,44.523,85
155,156,Chad Collins,73,71.532,5206,15.813,73
156,157,Chesson Hadley,81,71.541,5638,13.724,79
157,158,Brendon de Jonge,83,71.603,5767,32.841,81
158,159,Rod Pampling,54,71.607,3559,21.342,50
159,160,Jason Gore,78,71.627,5276,24.362,74
160,161,D.A. Points,55,71.655,3630,24.401,51
161,162,Troy Merritt,77,71.674,5481,37.921,77
162,163,Greg Owen,85,71.677,5778,27.859,81
163,164,Andres Gonzales,80,71.681,5564,27.154,78
164,165,Peter Malnati,85,71.686,6057,36.346,85
165,166,Hiroshi Iwata,85,71.693,5932,18.496,83
166,167,Wes Roach,59,71.7,3919,24.491,55
167,168,Cameron Smith,73,71.759,4950,1.373,69
168,169,Scott Langley,65,71.796,4488,35.167,63
169,170,Martin Piller,59,71.813,4079,14.324,57
170,171,George McNeill,51,71.848,3665,- .773,51
171,172,Ken Duke,58,71.88,3890,- 8.477,54
172,173,Erik Compton,65,71.884,4528,.668,63
173,174,Carlos Ortiz,79,71.906,5382,10.948,75
174,175,J.J. Henry,68,72.019,4744,9.257,66
175,176,Derek Ernst,59,72.075,4076,32.301,57
176,177,Rhein Gibson,58,72.086,3863,29.624,54
177,178,Dicky Pride,55,72.102,3795,26.428,53
178,179,Hunter Mahan,61,72.105,4405,- 6.615,61
179,181,Abraham Ancer,51,72.137,3437,25.597,48
180,182,Ángel Cabrera,62,72.175,4479,- 4.178,62
181,183,Rory Sabbatini,57,72.451,3888,24.350,54
182,184,Brendon Todd,66,72.728,4564,17.891,63
183,185,Robert Allenby,51,73.117,3714,14.959,51
184,187,D.H. Lee,61,73.415,4147,37.670,57
185,188,Steven Bowditch,71,74.262,5268,4.574,71
