,name,owgr_points_current_avg,driving_dist_avg,owgr_points_next_avg,top_tens,sg_p_avg,driving_acc_pct,scrambling_pct,adj_scoring_avg,sg_ott_avg,sg_apr_avg,sg_arg_avg,rounds
0,Dustin Johnson,10.29,314.0,8.93,12,0.385,59.46,62.5,68.69800000000001,0.919,0.8290000000000001,0.23800000000000002,62
1,Justin Rose,10.23,303.5,7.75,11,0.424,66.02,63.03,68.993,0.551,0.526,0.45,53
2,Brooks Koepka,9.92,313.4,12.65,6,0.168,56.85,63.28,69.444,0.6579999999999999,0.23199999999999998,0.162,54
3,Justin Thomas,9.43,311.8,7.3,10,0.272,58.41,62.47,69.118,0.408,0.8440000000000001,0.311,68
4,Francesco Molinari,7.25,301.0,6.13,5,-0.48700000000000004,65.04,58.67,69.797,0.69,0.593,0.327,57
5,Rory McIlroy,7.24,319.7,9.63,7,0.06,55.79,62.97,69.303,0.7609999999999999,0.26899999999999996,0.322,51
6,Bryson DeChambeau,6.97,305.7,6.25,9,0.34600000000000003,62.23,59.84,69.646,0.586,0.556,0.07,78
7,Jon Rahm,6.93,308.9,6.95,5,-0.151,59.2,57.18,69.958,0.8170000000000001,0.047,0.17600000000000002,51
8,Rickie Fowler,6.75,299.8,5.06,6,0.29600000000000004,65.33,63.05,69.435,0.244,0.494,0.242,61
9,Jordan Spieth,6.36,299.8,3.07,5,-0.034,61.55,61.63,69.904,0.271,0.409,0.184,66
10,Jason Day,6.25,310.0,3.97,5,0.77,58.32,62.35,69.60300000000001,0.17600000000000002,-0.14,0.479,49
11,Tommy Fleetwood,6.02,306.9,5.55,6,0.324,64.98,55.77,69.342,0.58,0.405,0.29600000000000004,54
12,Tiger Woods,5.82,303.6,6.58,7,0.266,59.35,64.16,69.35,0.061,0.883,0.385,59
13,Bubba Watson,5.32,313.1,3.79,6,0.001,58.27,56.64,70.384,0.78,0.005,-0.231,68
14,Patrick Reed,5.2,298.1,5.23,7,0.16399999999999998,55.11,62.94,70.10600000000001,0.051,0.187,0.545,63
15,Webb Simpson,4.98,293.7,5.49,9,0.6920000000000001,62.34,66.1,69.293,-0.11599999999999999,0.486,0.37,81
16,Tony Finau,4.94,315.1,5.78,11,0.23199999999999998,55.09,57.22,69.52,0.48100000000000004,0.5,0.222,81
17,Alex Noren,4.84,299.2,2.57,3,0.758,61.73,61.74,69.973,0.20800000000000002,0.107,-0.028999999999999998,49
18,Xander Schauffele,4.83,304.9,6.32,7,0.196,59.77,57.81,70.486,0.24,0.235,-0.027000000000000003,72
19,Hideki Matsuyama,4.71,302.0,3.7,4,0.132,62.82,60.8,70.02199999999999,0.19399999999999998,0.727,0.14300000000000002,57
20,Paul Casey,4.68,304.3,5.12,5,0.133,63.14,60.58,69.85,0.138,0.586,0.109,49
21,Patrick Cantlay,4.2,303.1,6.82,7,-0.182,61.58,57.58,69.899,0.622,0.509,0.146,67
