RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
1,1,Justin Thomas,66,0.997,57.821,58
2,2,Collin Morikawa,80,0.884,62.796,71
3,3,Russell Henley,67,0.867,50.269,58
4,7,Tyrrell Hatton,42,0.694,23.589,34
5,4,Hideki Matsuyama,74,0.69,42.111,61
6,6,Webb Simpson,52,0.64,32.663,51
7,10,Viktor Hovland,74,0.633,36.729,58
8,8,Cameron Tringale,63,0.632,33.513,53
9,9,Paul Casey,56,0.631,27.759,44
10,11,Gary Woodland,62,0.601,31.837,53
11,12,Doc Redman,82,0.584,40.912,70
12,13,Corey Conners,74,0.582,36.098,62
13,14,Emiliano Grillo,69,0.58,27.826,48
14,16,Jim Furyk,39,0.568,20.457,36
15,5,Joaquin Niemann,76,0.562,36.501,65
16,19,Brendan Steele,68,0.539,30.157,56
17,17,Dustin Johnson,49,0.524,24.64,47
18,20,Patrick Cantlay,46,0.523,23.004,44
19,15,Rory McIlroy,60,0.504,25.697,51
20,21,Branden Grace,43,0.501,16.525,33
21,18,Tony Finau,72,0.497,29.302,59
22,22,Cameron Percy,49,0.482,15.903,33
23,23,Matthew NeSmith,72,0.473,25.525,54
24,24,Jason Dufner,62,0.472,26.442,56
25,T30,Harris English,76,0.454,30.862,68
26,27,Russell Knox,67,0.449,21.992,49
27,28,Jimmy Walker,46,0.444,18.207,41
28,29,Harold Varner III,74,0.442,25.216,57
29,T30,Chez Reavie,77,0.44,25.052,57
30,32,Chesson Hadley,62,0.437,20.093,46
31,34,Nick Watney,46,0.416,14.979,36
32,36,Lucas Glover,67,0.4,19.991,50
33,50,Scottie Scheffler,82,0.398,27.833,70
34,33,Daniel Berger,64,0.396,22.178,56
35,38,Tom Hoge,74,0.389,25.643,66
36,T40,Ryan Moore,48,0.37,12.591,34
T37,26,Marc Leishman,61,0.366,19.026,52
T37,37,Xander Schauffele,70,0.366,22.299,61
39,42,Henrik Norlander,74,0.364,20.378,56
40,35,Ryan Palmer,68,0.362,21.332,59
41,43,Adam Long,88,0.358,25.415,71
42,44,Shane Lowry,44,0.354,12.742,36
43,45,Keegan Bradley,68,0.351,19.98,57
44,46,Joel Dahmen,79,0.336,21.178,63
T45,47,Kyle Stanley,57,0.335,14.397,43
T45,T40,Abraham Ancer,74,0.335,18.735,56
T47,T48,Bud Cauley,65,0.322,18.7,58
T47,T48,Brooks Koepka,40,0.322,12.238,38
49,51,Scott Stallings,71,0.309,16.375,53
50,57,Sebastián Muñoz,84,0.308,24.005,78
