RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Jon Rahm,49,10.85,531.59,-278.15,340.59,
2,2.0,Dustin Johnson,43,8.97,385.55,-268.61,147.35,
3,3.0,Collin Morikawa,52,8.37,435.38,-159.25,315.33,
4,4.0,Patrick Cantlay,43,7.6,326.91,-164.8,242.87,
5,5.0,Xander Schauffele,48,7.6,364.75,-197.52,238.03,
6,6.0,Justin Thomas,52,7.21,374.68,-248.76,201.45,
7,7.0,Bryson DeChambeau,50,6.95,347.72,-189.77,203.73,
8,8.0,Louis Oosthuizen,47,6.11,286.94,-117.27,218.99,
9,9.0,Tony Finau,52,5.91,307.52,-150.76,248.29,
10,10.0,Brooks Koepka,42,5.8,243.57,-185.87,205.49,
11,11.0,Harris English,52,5.72,297.24,-93.83,222.04,
12,12.0,Abraham Ancer,52,5.62,292.49,-115.76,221.2,
13,13.0,Rory McIlroy,50,5.56,278.12,-229.23,185.88,
14,15.0,Viktor Hovland,52,5.51,286.45,-107.42,199.53,
15,14.0,Jordan Spieth,49,5.4,264.79,-72.19,259.66,
16,18.0,Daniel Berger,46,5.2,239.37,-110.14,147.15,
17,16.0,Tyrrell Hatton,45,5.2,234.08,-157.63,102.98,
18,17.0,Hideki Matsuyama,52,5.1,265.4,-136.87,189.49,
19,19.0,Patrick Reed,52,5.05,262.41,-190.81,153.11,
20,20.0,Webb Simpson,42,4.82,202.33,-173.49,88.07,
21,21.0,Scottie Scheffler,52,4.81,249.9,-98.47,188.91,
22,22.0,Paul Casey,50,4.46,223.14,-130.63,182.43,
23,23.0,Cameron Smith,51,4.39,223.87,-90.06,147.46,
24,30.0,Kevin Na,52,4.25,220.96,-98.9,188.89,
25,25.0,Sam Burns,49,4.09,200.23,-40.2,188.52,
26,24.0,Matt Fitzpatrick,52,4.07,211.77,-137.61,111.75,
27,26.0,Jason Kokrak,52,4.03,209.72,-94.34,136.05,
28,28.0,Billy Horschel,52,3.86,200.5,-97.4,157.57,
29,27.0,Sungjae Im,52,3.85,200.45,-132.22,118.52,
30,29.0,Joaquin Niemann,52,3.63,188.6,-90.15,149.87,
31,31.0,Will Zalatoris,50,3.28,163.97,-49.86,132.02,
32,33.0,Corey Conners,52,3.23,168.08,-75.2,131.8,
33,32.0,Lee Westwood,52,3.15,163.64,-82.22,112.95,
34,35.0,Phil Mickelson,47,3.11,146.1,-52.39,118.64,
35,34.0,Kevin Kisner,52,3.07,159.54,-102.36,83.39,
36,36.0,Ryan Palmer,47,2.98,140.02,-80.24,85.6,
37,38.0,Tommy Fleetwood,52,2.95,153.41,-142.61,77.8,
38,39.0,Marc Leishman,49,2.73,133.89,-100.15,85.83,
39,37.0,Adam Scott,40,2.72,108.95,-113.2,59.63,
40,40.0,Shane Lowry,52,2.68,139.28,-114.81,104.91,
41,48.0,Sergio Garcia,52,2.62,136.19,-80.98,96.12,
42,41.0,Max Homa,52,2.62,136.16,-65.38,126.86,
43,42.0,Brian Harman,52,2.59,134.43,-54.71,110.12,
44,50.0,Christiaan Bezuidenhout,52,2.56,133.18,-83.82,60.84,
45,45.0,Justin Rose,45,2.52,113.35,-105.21,75.08,
46,46.0,Stewart Cink,48,2.5,119.95,-29.65,102.76,
47,43.0,Garrick Higgo,52,2.49,129.29,-33.88,101.44,
48,47.0,Ian Poulter,52,2.47,128.32,-70.25,84.18,
49,44.0,Matthew Wolff,47,2.46,115.85,-90.63,22.08,
50,49.0,Si Woo Kim,52,2.45,127.42,-58.47,109.25,
51,51.0,Victor Perez,46,2.36,108.57,-78.79,53.69,
52,52.0,Lucas Herbert,42,2.33,98.03,-40.06,63.45,
53,55.0,Erik van Rooyen,52,2.33,121.09,-72.51,82.67,
54,53.0,Robert MacIntyre,52,2.3,119.57,-66.47,80.71,
55,54.0,Mackenzie Hughes,52,2.29,119.21,-60.86,64.63,
56,56.0,Kevin Streelman,52,2.24,116.38,-68.14,71.29,
57,57.0,Branden Grace,52,2.19,113.75,-45.69,91.96,
58,58.0,K.H. Lee,52,2.13,110.95,-29.87,109.09,
59,59.0,Russell Henley,52,2.09,108.74,-51.83,58.44,
60,64.0,Min Woo Lee,40,2.08,83.21,-23.14,67.2,
61,61.0,Charley Hoffman,52,2.06,106.87,-40.92,89.81,
62,62.0,Alex Noren,52,2.05,106.61,-45.79,75.42,
63,60.0,Bernd Wiesberger,52,2.05,106.42,-88.92,66.5,
64,63.0,Cam Davis,52,2.0,104.1,-28.15,91.85,
65,67.0,Bubba Watson,47,1.98,92.89,-62.07,44.57,
66,65.0,Carlos Ortiz,52,1.95,101.54,-56.24,52.67,
67,66.0,Sebastián Muñoz,52,1.95,101.34,-60.92,63.71,
68,71.0,Chris Kirk,40,1.93,77.38,-22.48,74.48,
69,70.0,Cameron Champ,52,1.93,100.56,-52.26,60.41,
70,68.0,Matt Wallace,52,1.93,100.37,-82.61,60.3,
71,69.0,Guido Migliozzi,48,1.9,91.42,-32.16,84.95,
72,72.0,Charl Schwartzel,41,1.87,76.51,-19.32,61.97,
73,73.0,Emiliano Grillo,52,1.85,96.06,-37.67,78.07,
74,74.0,Cameron Tringale,51,1.84,93.86,-37.91,68.46,
75,75.0,Matt Jones,52,1.83,94.98,-51.89,77.42,
76,76.0,Talor Gooch,52,1.8,93.76,-45.49,58.7,
77,77.0,Thomas Detry,52,1.79,93.32,-47.26,55.78,
78,81.0,Jason Day,45,1.78,80.31,-67.52,31.74,
79,78.0,Harold Varner III,52,1.78,92.74,-43.0,70.89,
80,79.0,Keegan Bradley,52,1.77,91.9,-46.93,73.73,
81,80.0,Brendon Todd,52,1.76,91.41,-62.86,43.48,
82,83.0,Rasmus Hojgaard,52,1.71,88.99,-39.76,57.43,
83,82.0,Matt Kuchar,50,1.7,84.9,-105.52,49.68,
84,90.0,Takumi Kanaya,40,1.68,67.03,-26.28,39.94,
85,84.0,Lucas Glover,52,1.67,86.97,-47.77,64.27,
86,85.0,Dylan Frittelli,52,1.67,86.77,-54.2,42.45,
87,86.0,Joel Dahmen,52,1.66,86.23,-60.8,44.96,
88,87.0,Gary Woodland,50,1.66,82.91,-105.95,51.34,
89,89.0,Jhonattan Vegas,50,1.63,81.41,-29.48,72.57,
90,97.0,Richard Bland,51,1.62,82.67,-25.04,65.15,
91,88.0,Lanto Griffin,52,1.62,84.1,-63.5,45.06,
92,91.0,Rikuya Hoshino,40,1.58,63.28,-39.23,42.73,
93,92.0,Martin Kaymer,43,1.55,66.51,-47.93,36.09,
94,94.0,Troy Merritt,52,1.53,79.49,-35.93,59.88,
95,96.0,Justin Harding,52,1.52,79.17,-42.79,66.06,
96,94.0,Antoine Rozner,52,1.52,79.08,-40.27,52.03,
97,99.0,Aaron Wise,46,1.51,69.66,-30.11,40.13,
