RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
1,1,Jason Day,53,0.632,25.287,40
2,3,Rob Oppenheim,65,0.536,24.106,45
3,4,Aaron Baddeley,49,0.52,19.257,37
4,5,Brandt Snedeker,53,0.514,25.685,50
5,6,Hideki Matsuyama,74,0.458,27.951,61
6,7,Mackenzie Hughes,70,0.454,28.143,62
7,8,Alex Noren,60,0.443,19.947,45
8,9,Seamus Power,36,0.433,9.102,21
9,10,Adam Scott,38,0.424,12.714,30
10,11,Matt Wallace,44,0.401,16.034,40
11,12,Charles Howell III,69,0.392,19.581,50
12,13,Bud Cauley,65,0.38,22.029,58
13,14,Phil Mickelson,51,0.379,14.401,38
14,15,Byeong Hun An,75,0.373,22.406,60
15,16,Brian Harman,78,0.362,25.715,71
16,17,Rory Sabbatini,66,0.359,17.955,50
17,18,Rhein Gibson,54,0.342,11.628,34
18,21,Justin Thomas,66,0.339,19.637,58
19,19,Jordan Spieth,62,0.33,15.531,47
20,20,Carlos Ortiz,72,0.327,21.261,65
21,T23,Patrick Reed,74,0.316,20.533,65
22,22,Sergio Garcia,44,0.308,9.847,32
23,T23,Si Woo Kim,78,0.305,18.329,60
24,29,Jon Rahm,58,0.304,17.329,57
25,25,Brian Stuard,83,0.3,19.213,64
26,27,Peter Uihlein,47,0.29,9.557,33
27,32,Harris English,76,0.279,18.993,68
28,40,Daniel Berger,64,0.271,15.184,56
29,30,Dylan Frittelli,82,0.267,18.175,68
30,34,Tony Finau,72,0.266,15.705,59
31,31,Bill Haas,46,0.265,9.023,34
T32,26,Webb Simpson,52,0.244,12.435,51
T32,35,Harold Varner III,74,0.244,13.914,57
34,36,Arjun Atwal,35,0.238,4.756,20
35,37,Chez Reavie,77,0.237,13.505,57
36,39,Tim Wilkinson,50,0.234,7.489,32
37,38,Xander Schauffele,70,0.225,13.755,61
38,41,Russell Henley,67,0.224,12.996,58
39,42,Rickie Fowler,44,0.222,9.107,41
40,43,Cameron Tringale,63,0.195,10.348,53
41,44,Kramer Hickok,51,0.193,6.961,36
42,33,Tyrrell Hatton,42,0.184,6.242,34
43,T45,Patrick Cantlay,46,0.17,7.484,44
44,47,Jason Dufner,62,0.167,9.343,56
45,48,Nick Watney,46,0.162,5.834,36
46,49,Ryan Armour,60,0.16,7.212,45
47,51,Brandon Hagy,50,0.149,5.347,36
48,52,Zack Sucher,38,0.148,3.559,24
49,T45,Kevin Na,71,0.14,8.258,59
50,56,Cam Davis,62,0.131,6.028,46
51,T57,Adam Hadwin,65,0.13,7.042,54
T52,T59,Fabián Gómez,59,0.129,5.028,39
T52,T59,K.H. Lee,76,0.129,6.966,54
54,62,Shane Lowry,44,0.122,4.377,36
55,T63,Doug Ghim,44,0.12,3.346,28
56,65,Luke List,69,0.118,6.971,59
57,66,James Hahn,36,0.117,3.149,27
58,75,Scottie Scheffler,82,0.115,8.08,70
59,67,Keegan Bradley,68,0.112,6.374,57
T60,55,Sebastián Muñoz,84,0.11,8.617,78
T60,68,Wyndham Clark,65,0.11,5.037,46
62,69,Hank Lebioda,57,0.109,4.481,41
63,80,Rory McIlroy,60,0.108,5.524,51
T64,T70,Tommy Fleetwood,40,0.107,2.997,28
T64,T70,Kevin Tway,52,0.107,3.749,35
66,72,Nate Lashley,52,0.106,4.774,45
T67,T63,Billy Horschel,79,0.095,5.596,59
T67,T73,J.T. Poston,78,0.095,5.999,63
T67,T73,D.J. Trahan,49,0.095,3.123,33
70,54,Brendon Todd,86,0.092,6.873,75
T71,61,Cameron Smith,64,0.091,5.025,55
T71,76,Richy Werenski,60,0.091,4.475,49
73,77,Matt Jones,76,0.089,5.71,64
74,78,Branden Grace,43,0.085,2.814,33
75,79,Grayson Murray,36,0.083,2.565,31
T76,81,Lanto Griffin,96,0.077,6.158,80
T76,82,Russell Knox,67,0.077,3.751,49
78,83,Wes Roach,42,0.073,1.608,22
79,84,Scott Stallings,71,0.072,3.812,53
80,85,Peter Malnati,61,0.067,3.165,47
81,86,Xinjun Zhang,77,0.063,3.693,59
82,87,Anirban Lahiri,35,0.057,1.309,23
83,88,Ian Poulter,48,0.053,2.005,38
84,89,David Hearn,55,0.047,1.692,36
85,90,Roger Sloan,55,0.042,1.595,38
86,91,Brice Garnett,58,0.027,1.236,45
87,92,Ryan Palmer,68,0.017,1.0,59
88,94,Talor Gooch,83,0.016,1.221,75
89,95,Matt Kuchar,56,0.015,0.717,49
90,96,Kyle Stanley,57,0.014,0.595,43
91,T98,Sebastian Cappelen,55,0.01,0.355,35
92,97,Sungjae Im,94,0.007,0.591,79
93,T98,Collin Morikawa,80,0.005,0.384,71
94,100,Scott Brown,64,0.004,0.19,50
T95,122,Dustin Johnson,49,0.002,0.078,47
T95,101,Kevin Streelman,73,0.002,0.137,57
97,102,Josh Teater,43,-0.009,-0.242,27
98,103,Aaron Wise,49,-0.01,-0.337,34
99,104,Bo Hoag,71,-0.015,-0.745,49
100,105,Patrick Rodgers,95,-0.018,-1.32,75
101,106,Martin Laird,39,-0.023,-0.663,29
102,107,Brooks Koepka,40,-0.028,-1.06,38
103,108,Nick Taylor,59,-0.03,-1.487,50
T104,T109,Jimmy Walker,46,-0.031,-1.276,41
T104,T109,Patton Kizzire,55,-0.031,-1.473,47
106,111,Charley Hoffman,63,-0.034,-1.617,48
107,112,Will Gordon,36,-0.036,-0.803,22
108,113,Brendan Steele,68,-0.038,-2.111,56
T109,T114,Michael Thompson,62,-0.04,-2.228,56
T109,T114,Joel Dahmen,79,-0.04,-2.534,63
111,125,Bryson DeChambeau,62,-0.041,-2.539,62
112,116,Bo Van Pelt,45,-0.048,-1.501,31
113,117,Austin Cook,64,-0.049,-2.345,48
114,118,Chris Stroud,48,-0.051,-1.848,36
115,119,Maverick McNealy,80,-0.053,-3.071,58
116,120,Adam Long,88,-0.055,-3.9,71
T117,T123,Brian Gay,67,-0.061,-3.053,50
T117,T123,Jim Furyk,39,-0.061,-2.212,36
T119,T126,Mark Hubbard,86,-0.065,-4.742,73
T119,T126,Zac Blair,70,-0.065,-3.246,50
121,128,Pat Perez,59,-0.069,-2.76,40
122,129,Michael Gligic,52,-0.08,-2.706,34
123,130,Bronson Burgoon,55,-0.083,-3.74,45
124,131,Beau Hossler,71,-0.085,-4.178,49
125,132,Joseph Bramlett,57,-0.086,-3.357,39
126,133,Scott Harrington,68,-0.087,-4.712,54
T127,T134,Abraham Ancer,74,-0.093,-5.208,56
T127,121,Kevin Kisner,73,-0.093,-5.205,56
