,name,owgr_points_current_avg,driving_dist_avg,next_years_rank,top_tens,gir_pct,sg_p_avg,driving_acc_pct,scrambling_pct,adj_scoring_avg,sg_ott_avg,sg_apr_avg,sg_arg_avg,rounds,year
0,Tiger Woods,13.22,293.2,15,8.0,67.59,0.426,62.5,60.0,68.944,-0.142,1.533,0.247,43.0,2013
1,Adam Scott,9.25,297.8,2,6.0,68.8,-0.027,61.84,56.38,69.3,0.734,0.548,0.055,44.0,2013
2,Phil Mickelson,8.52,287.9,11,7.0,66.67,0.661,57.3,58.55,69.742,0.021,0.494,0.26,57.0,2013
3,Henrik Stenson,8.23,290.9,4,8.0,71.96,0.004,70.09,57.28,69.248,0.71,0.776,0.128,44.0,2013
4,Justin Rose,7.78,296.6,6,7.0,68.89,-0.188,63.57,60.71,69.225,0.459,0.961,0.491,46.0,2013
5,Rory McIlroy,7.5,302.2,1,5.0,65.45,-0.093,57.92,54.68,70.288,0.624,0.42,0.032,41.0,2013
6,Steve Stricker,6.88,283.6,25,8.0,71.16,0.72,70.65,65.57,68.893,0.311,0.567,0.596,35.0,2013
7,Matt Kuchar,6.64,284.9,9,8.0,65.84,0.398,58.93,63.55,69.561,-0.01,0.731,0.278,69.0,2013
8,Brandt Snedeker,6.27,281.3,38,9.0,65.68,0.692,62.57,60.86,69.791,-0.025,0.121,0.354,58.0,2013
9,Jason Dufner,6.08,285.9,31,5.0,67.53,-0.231,64.81,59.11,69.912,0.475,0.44,-0.103,61.0,2013
10,Graeme McDowell,5.52,277.5,18,4.0,62.7,0.136,68.51,61.09,70.503,0.251,0.217,-0.061,37.0,2013
11,Zach Johnson,5.52,278.8,16,8.0,68.14,0.365,69.68,59.66,70.073,0.181,0.251,0.047,67.0,2013
12,Jim Furyk,5.21,275.3,5,7.0,68.3,0.092,70.47,59.55,69.828,0.023,0.95,0.323,64.0,2013
13,Keegan Bradley,5.11,300.6,26,7.0,66.54,0.25,62.82,60.88,69.724,0.698,0.27,0.185,72.0,2013
14,Luke Donald,5.1,278.1,32,5.0,62.16,0.528,62.87,61.52,69.793,-0.459,0.583,0.628,46.0,2013
15,Jason Day,4.91,299.3,8,7.0,64.93,0.37,58.03,61.39,69.732,0.452,-0.013,0.167,61.0,2013
16,Sergio Garcia,4.65,291.0,3,6.0,67.46,0.591,61.28,57.45,69.543,0.131,0.538,0.259,47.0,2013
17,Lee Westwood,4.62,290.3,41,6.0,65.22,-0.484,62.59,61.57,70.158,0.439,0.479,0.17,51.0,2013
18,Charl Schwartzel,4.51,296.1,24,5.0,65.85,0.301,59.87,55.02,69.651,0.195,0.711,0.061,54.0,2013
19,Ian Poulter,4.47,281.7,37,4.0,63.52,0.177,62.42,61.49,70.382,0.2,-0.153,0.29,39.0,2013
