PLAYER NAME,YEAR,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,ROUNDS_x,AVERAGE_x,SG:OTT,SG:APR,SG:ARG,AVERAGE_y,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,AVERAGE_x,TOTAL SG:PUTTING,AVERAGE_y,TOTAL SG:APP,RANK FOLLOWING YEAR,RANK AS LABEL
Jason Day,2015,75,0.287,16.357,57,75,1.52,0.772,0.461,0.287,2.106,120.054,86.649,33.407,0.586,33.407,0.461,26.26,1,A
Dustin Johnson,2015,75,-0.212,-11.466,54,75,1.326,0.96,0.579,-0.212,1.455,78.552,71.623,6.932,0.128,6.932,0.579,31.252,2,A
Jordan Spieth,2015,91,0.471,31.054,66,91,1.583,0.494,0.618,0.471,2.154,142.131,104.47,37.665,0.571,37.665,0.618,40.776,4,A
Henrik Stenson,2015,63,0.082,3.604,44,63,1.774,0.448,1.244,0.082,2.21,97.245,78.041,19.205,0.436,19.205,1.244,54.732,5,A
Adam Scott,2015,51,-0.195,-6.238,32,51,0.601,0.682,0.114,-0.195,0.206,6.577,19.24,-12.662,-0.396,-12.662,0.114,3.659,6,A
Bubba Watson,2015,71,-0.002,-0.125,56,71,1.876,1.194,0.684,-0.002,2.088,116.927,105.053,11.875,0.212,11.875,0.684,38.329,7,A
Patrick Reed,2015,103,0.273,20.717,76,103,0.465,-0.071,0.263,0.273,0.859,65.248,35.333,29.919,0.394,29.919,0.263,19.985,8,A
Rickie Fowler,2015,76,0.066,3.751,57,76,0.779,0.123,0.59,0.066,1.088,62.024,44.412,17.616,0.309,17.616,0.59,33.657,9,A
Justin Rose,2015,69,0.228,11.195,49,69,1.471,0.55,0.692,0.228,1.493,73.18,72.06,1.123,0.023,1.123,0.692,33.923,11,A
Sergio Garcia,2015,59,0.157,5.669,36,59,1.067,0.442,0.468,0.157,1.045,37.624,38.412,-0.784,-0.022,-0.784,0.468,16.837,12,A
Paul Casey,2015,87,-0.182,-11.448,63,87,1.202,0.392,0.991,-0.182,1.216,76.616,75.709,0.911,0.014,0.911,0.991,62.461,13,A
Phil Mickelson,2015,70,0.225,12.387,55,70,0.319,0.072,0.022,0.225,0.581,31.955,17.541,14.421,0.262,14.421,0.022,1.206,15,A
Jimmy Walker,2015,89,0.068,4.357,64,89,0.241,-0.161,0.334,0.068,0.933,59.711,15.449,44.265,0.692,44.265,0.334,21.386,16,A
Matt Kuchar,2015,97,0.479,36.864,77,97,0.817,0.136,0.202,0.479,1.133,87.212,62.892,24.322,0.316,24.322,0.202,15.528,17,A
Hideki Matsuyama,2015,95,0.254,17.797,70,95,1.388,0.496,0.637,0.254,1.464,102.473,97.135,5.34,0.076,5.34,0.637,44.617,18,A
Russell Knox,2015,96,0.107,9.339,87,96,0.827,0.098,0.622,0.107,0.806,70.153,71.984,-1.826,-0.021,-1.826,0.622,54.145,19,A
Louis Oosthuizen,2015,68,0.088,4.126,47,68,0.825,0.339,0.397,0.088,0.605,28.413,38.757,-10.341,-0.22,-10.341,0.397,18.679,20,A
J.B. Holmes,2015,89,0.268,17.699,66,89,0.949,0.427,0.253,0.268,0.944,62.313,62.613,-0.296,-0.004,-0.296,0.253,16.717,21,B
Brooks Koepka,2015,84,0.052,3.405,65,84,0.66,0.407,0.2,0.052,1.081,70.245,42.877,27.372,0.421,27.372,0.2,12.999,22,B
Brandt Snedeker,2015,98,0.344,25.818,75,98,0.02,-0.126,-0.199,0.344,0.607,45.544,1.471,44.074,0.588,44.074,-0.199,-14.895,23,B
Charl Schwartzel,2015,67,0.092,3.762,41,67,0.629,0.669,-0.132,0.092,0.073,3.011,25.782,-22.769,-0.555,-22.769,-0.132,-5.425,24,B
Jim Furyk,2015,71,0.513,26.701,52,71,1.658,0.064,1.081,0.513,1.634,84.986,86.239,-1.252,-0.024,-1.252,1.081,56.199,26,B
Kevin Chappell,2015,86,0.148,11.095,75,86,0.202,0.16,-0.105,0.148,0.37,27.785,15.162,12.628,0.168,12.628,-0.105,-7.909,27,B
